Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
Dr. Sourabh Nagpal,"BDS, MDS - Prosthodontics, Fellowship and Diplomate in Implantology from ICOI (USA), PGDE (Cosmetic & Esthetic Dentist)",Dentist,17 years experience overall,"Vasant Vihar,",Delhi,99%,623 Patient Stories,₹500
Dr. Meeka Gulati,"BDS, MDS - Conservative Dentistry & Endodontics",Dentist,15 years experience overall,"Janakpuri,",Delhi,97%,108 Patient Stories,₹500
Dr. Aparna Singhal,"BDS, MDS - Prosthodontics",Dentist,14 years experience overall,"Punjabi Bagh,",Delhi,98%,96 Patient Stories,₹300
Dr. Prashant Ojha,"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, BDS",Dentist,16 years experience overall,"Saket,",Delhi,92%,104 Patient Stories,₹300
Dr. Anukriti Bansal Aggarwal,BDS,Dentist,10 years experience overall,"Rohini Sector 18,",Delhi,100%,74 Patient Stories,₹400
Dr. Ritesh,BDS,Dentist,17 years experience overall,"Vasant Kunj,",Delhi,99%,111 Patient Stories,₹500
Dr. Lt.Col. Preeti Tahlan Arora,BDS,Dentist,21 years experience overall,"Malviya Nagar,",Delhi,100%,62 Patient Stories,₹500
Dr. Neeti Sharma,BDS,Dentist,12 years experience overall,"Katwaria Sarai,",Delhi,96%,63 Patient Stories,₹350
Dr. Poonam Yadav,BDS,Dentist,9 years experience overall,"Dwarka,",Delhi,100%,99 Patient Stories,₹400
Dr. Mehak Nagpal Sharma,"BDS, MDS - Paedodontics And Preventive Dentistry",Dentist,11 years experience overall,"Dwarka,",Delhi,100%,90 Patient Stories,₹500
Dr. Kalpana Aggrawal,"MBBS, MS - Obstetrics & Gynaecology",Gynecologist/Obstetrician,19 years experience overall,"Dwarka,",Delhi,91%,330 Patient Stories,₹500
Dr. Madhu Ahuja,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",Gynecologist/Obstetrician,38 years experience overall,"Patparganj,",Delhi,93%,23 Patient Stories,₹1100
Dr. Neha Khandelwal,"MBBS, MS - Obstetrics & Gynaecology",Gynecologist/Obstetrician,17 years experience overall,"Greater Kailash Part 1,",Delhi,99%,450 Patient Stories,₹1200
Dr. Shikha Gurnani,"MBBS, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,19 years experience overall,"Dwarka,",Delhi,98%,668 Patient Stories,₹800
